day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,15:15:00 - 16:50:00 ,15:15,16:50,Лекционные занятия,Программные комплексы имитационного моделирования,Дибров М. Г.,310/2,1,бпо-221,
Понедельник,17:00:00 - 18:35:00 ,17:00,18:35,Лекционные занятия,Системы искусственного интеллекта,Хорошилов В. Н.,301/2,1,бпо-221,
Понедельник,18:40:00 - 20:05:00 ,18:40,20:05,Практические занятия,Системы искусственного интеллекта,Хорошилов В. Н.,301/2,1,бпо-221,
Вторник,8:00:00 - 9:35:00 ,8:00,9:35,Лабораторные занятия,Информационная безопасность,Попов А. В.,213/2,1,бпо-221,
Вторник,8:00:00 - 9:35:00 ,8:00,9:35,Лабораторные занятия,Разработка автоматизированных систем,Бредихин А. В.,215/2,2,бпо-221,
Вторник,9:45:00 - 11:20:00 ,9:45,11:20,Лабораторные занятия,Информационная безопасность,Попов А. В.,213/2,1,бпо-221,
Вторник,9:45:00 - 11:20:00 ,9:45,11:20,Лабораторные занятия,Разработка автоматизированных систем,Бредихин А. В.,215/2,2,бпо-221,
Вторник,11:30:00 - 13:05:00 ,11:30,13:05,Лабораторные занятия,Разработка автоматизированных систем,Бредихин А. В.,215/2,1,бпо-221,
Вторник,13:30:00 - 15:05:00 ,13:30,15:05,Лабораторные занятия,Разработка автоматизированных систем,Бредихин А. В.,215/2,1,бпо-221,
Среда,8:00:00 - 9:35:00 ,8:00,9:35,Лабораторные занятия,Программные комплексы имитационного моделирования,Дибров М. Г.,202/2,1,бпо-221,
Среда,9:45:00 - 11:20:00 ,9:45,11:20,Лабораторные занятия,Программные комплексы имитационного моделирования,Дибров М. Г.,202/2,1,бпо-221,
Среда,11:30:00 - 13:05:00 ,11:30,13:05,Лекционные занятия,Разработка автоматизированных систем,Бредихин А. В.,301/2,1,бпо-221,
Среда,13:30:00 - 15:05:00 ,13:30,15:05,Лекционные занятия,Информационная безопасность,Попов А. В.,310/2,1,бпо-221,
Среда,15:15:00 - 16:50:00 ,15:15,16:50,Лабораторные занятия,Информационная безопасность,Попов А. В.,213/2,2,бпо-221,
Среда,17:00:00 - 18:35:00 ,17:00,18:35,Лабораторные занятия,Информационная безопасность,Попов А. В.,213/2,2,бпо-221,
Четверг,8:00:00 - 9:35:00 ,8:00,9:35,Лабораторные занятия,Системы искусственного интеллекта,Сокольников В. В.,210/2,1,бпо-221,
Четверг,8:00:00 - 9:35:00 ,8:00,9:35,Лабораторные занятия,Программные комплексы имитационного моделирования,Дибров М. Г.,202/2,2,бпо-221,
Четверг,9:45:00 - 11:20:00 ,9:45,11:20,Лабораторные занятия,Системы искусственного интеллекта,Сокольников В. В.,210/2,1,бпо-221,
Четверг,9:45:00 - 11:20:00 ,9:45,11:20,Лабораторные занятия,Программные комплексы имитационного моделирования,Дибров М. Г.,202/2,2,бпо-221,
Суббота,8:00:00 - 9:35:00 ,08:30,10:05,Лабораторные занятия,Автоматизация и управление производственными процессами,Поляков С. И.,1411,1,бпо-221,
Суббота,9:45:00 - 11:20:00 ,10:15,11:50,Лабораторные занятия,Автоматизация и управление производственными процессами,Поляков С. И.,1411,1,бпо-221,
Суббота,11:30:00 - 13:05:00 ,12:00,13:35,Лекционные занятия,Автоматизация и управление производственными процессами,Поляков С. И.,1423,1,бпо-221,
Суббота,17:00:00 - 18:35:00 ,17:50,19:25,Практические занятия,Русский язык как иностранный,(Вохминцева А. В.,6343,1,бпо-221,8
Суббота,18:40:00 - 20:05:00 ,19:35,21:10,Практические занятия,Русский язык как иностранный,(Вохминцева А. В.,6343,1,бпо-221,8
