day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,Физика,Тураева Т. Л.,327/1,1,бт-251,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Физика,Ремизова О. И.Тураева Т. Л.,326/1,1,бт-251,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Физика,Ремизова О. И.,326/1,2,бт-251,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,Физика,Ремизова О. И.,326/1,3,бт-251,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Алгебра и геометрия,Дорохова О. А.,218/1,1,бт-251,
Понедельник,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Введение в специальность (спецглавы),Остапенко А. Г.,406/5,1,бт-251,
Вторник,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,бт-251,
Вторник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Иностранный язык,Макарова А. А.,111/2,3,бт-251,
Вторник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Математический анализ,Кострюков С. А.,406/5,1,бт-251,
Вторник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Введение в специальность (спецглавы),Остапенко А. Г.,308/1,1,бт-251,
Вторник,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Иностранный язык,(Нехаева О. Г.,210/5,1,бт-251,"25,29,33,37"
Вторник,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Иностранный язык,(Нехаева О. Г.,210/5,2,бт-251,"27,31,35,39"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Иностранный язык,(Нехаева О. Г.,208/5,1,бт-251,"25,29,33,37"
Вторник,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Иностранный язык,(Нехаева О. Г.,208/5,2,бт-251,"27,31,35,39"
Четверг,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Туманцев К. В.,,1,бт-251,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Туманцев К. В.,,2,бт-251,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Туманцев К. В.,,3,бт-251,
Четверг,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,История  России,Дорош А. А.,220/1,1,бт-251,
Четверг,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Алгебра и геометрия,Дорохова О. А.,218/1,1,бт-251,
Четверг,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Иностранный язык,Нехаева О. Г.,408/5,2,бт-251,
Четверг,18:40:00 - 20:05:00,18:40,20:05,Практические занятия,Иностранный язык,Нехаева О. Г.,408/5,2,бт-251,
Пятница,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Психология социального взаимодействия,Слепцова А. О.,308/1,1,бт-251,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Психология социального взаимодействия,Слепцова А. О.,218/1,1,бт-251,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Математический анализ,Кострюков С. А.,220/1,1,бт-251,
Пятница,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Физика,Тураева Т. Л.,322/1,1,бт-251,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,История  России,Дорош А. А.,308/1,1,бт-251,
Суббота,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Основы информационной безопасности,Чопоров О. Н.,308/1,1,бт-251,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Основы информационной безопасности,Чопоров О. Н.,406/5,1,бт-251,
