day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,иб-231,
Понедельник,8:00:00 - 9:35:00,08:30,10:05,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,2,иб-231,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Организационное и правовое обеспечение информационной безопасности,Шварцкопф Е. А.,410/5,1,иб-231,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Проектная деятельность,Остапенко А. Г.,410/5,1,иб-231,
Понедельник,15:15:00 - 16:50:00,15:15,16:50,Лекционные занятия,Теория вероятностей и математическая статистика,Надеина Т. А.,206/2,1,иб-231,
Понедельник,17:00:00 - 18:35:00,17:00,18:35,Практические занятия,Теория вероятностей и математическая статистика,Надеина Т. А.,206/2,1,иб-231,
Среда,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Технологии и методы программирования,Мордовин А. И.,,1,иб-231,
Среда,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Математические основы управления рисками,Петрова Е. С.,402/5,2,иб-231,
Среда,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Технологии и методы программирования,Мордовин А. И.,,1,иб-231,
Среда,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Математические основы управления рисками,Петрова Е. С.,402/5,2,иб-231,
Среда,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Безопасность операционных систем,Белоножкин В. И.,201/5,1,иб-231,
Среда,18:40:00 - 20:05:00,18:40,20:05,Лабораторные занятия,Безопасность операционных систем,Белоножкин В. И.,201/5,1,иб-231,
Четверг,8:00:00 - 9:35:00,08:30,10:05,Лекционные занятия,Основы военной подготовки,Шишикин И. Н.,7103,1,иб-231,
Четверг,9:45:00 - 11:20:00,10:15,11:50,Практические занятия,Основы военной подготовки,Шишикин И. Н.,1303,1,иб-231,
Пятница,9:45:00 - 11:20:00,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,1,иб-231,
Пятница,9:45:00 - 11:20:00,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Вялых Н. Н.,,2,иб-231,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Исследование операций и теория игр,Шелковой А. Н.,220/1,1,иб-231,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Практические занятия,Исследование операций и теория игр,Шелковой А. Н.,406/5,1,иб-231,
Пятница,17:00:00 - 18:35:00,17:00,18:35,Лекционные занятия,Математические основы управления рисками,Четкин О. В.,407/5,1,иб-231,
Пятница,18:40:00 - 20:05:00,18:40,20:05,Лекционные занятия,Безопасность систем баз данных,Паринов А. В.,407/5,1,иб-231,
Суббота,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Безопасность систем баз данных,Паринов А. В.,201/5,2,иб-231,
Суббота,17:00:00 - 18:35:00,17:00,18:35,Лабораторные занятия,Безопасность систем баз данных,Паринов А. В.,201/5,2,иб-231,
