day,time_slot,start_time,end_time,type,subject,teacher,auditorium,subgroup,group_name,weeks
Понедельник,8:00:00 - 9:35:00,8:00,9:35,Практические занятия,Организационное и правовое обеспечение информационной безопасности,Шварцкопф Е. А.,406/5,1,кб-231,
Понедельник,9:45:00 - 11:20:00,9:45,11:20,Практические занятия,Проектная деятельность,Остапенко А. Г.,406/5,1,кб-231,
Понедельник,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Операционные системы,Белоножкин В. И.,407/5,1,кб-231,
Понедельник,13:30:00 - 15:05:00,13:30,15:05,Лекционные занятия,Методы программирования,Лопатин Р. С.,407/5,1,кб-231,
Среда,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,"Теория управления информационной безопасностью компьютерных систем (связь, информационные и коммуникационные технологии)",(Петрова Е. С.,404/5,1,кб-231,"25,29,33,37"
Среда,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,"Теория управления информационной безопасностью компьютерных систем (связь, информационные и коммуникационные технологии)",(Петрова Е. С.,404/5,2,кб-231,"27,31,35,39"
Среда,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,"Теория управления информационной безопасностью компьютерных систем (связь, информационные и коммуникационные технологии)",(Петрова Е. С.,404/5,1,кб-231,"25,29,33,37"
Среда,11:30:00 - 13:05:00,11:30,13:05,Лабораторные занятия,"Теория управления информационной безопасностью компьютерных систем (связь, информационные и коммуникационные технологии)",(Петрова Е. С.,404/5,2,кб-231,"27,31,35,39"
Среда,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Системы управления базами данных,Паринова Л. В.,404/5,1,кб-231,
Среда,13:30:00 - 15:05:00,13:30,15:05,Лабораторные занятия,Операционные системы,Белоножкин В. И.,201/5,2,кб-231,
Среда,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Системы управления базами данных,Паринова Л. В.,404/5,1,кб-231,
Среда,15:15:00 - 16:50:00,15:15,16:50,Лабораторные занятия,Операционные системы,Белоножкин В. И.,201/5,2,кб-231,
Среда,17:00:00 - 18:35:00,17:00,18:35,Лекционные занятия,Системы управления базами данных,Паринова Л. В.,407/5,1,кб-231,
Четверг,8:00:00 - 9:35:00,8:00,9:35,Лекционные занятия,Сети и системы передачи информации,Куликов С. С.,407/5,1,кб-231,
Четверг,9:45:00 - 11:20:00,9:45,11:20,Лекционные занятия,"Теория управления информационной безопасностью компьютерных систем (связь, информационные и коммуникационные технологии)",Дешина А. Е.,407/5,1,кб-231,
Четверг,11:30:00 - 13:05:00,11:30,13:05,Лекционные занятия,Физические основы защиты информации,Пахомова А. С.,407/5,1,кб-231,
Пятница,9:45:00 - 11:20:00,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Смольянова Л. А.,,1,кб-231,
Пятница,9:45:00 - 11:20:00,10:15,11:50,Практические занятия,Элективные дисциплины по физической культуре и спорту,Смольянова Л. А.,,2,кб-231,
Пятница,,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Смольянова Л. А.,,1,кб-231,
Пятница,,12:00,13:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Смольянова Л. А.,,2,кб-231,
Пятница,13:30:00 - 15:05:00,13:30,15:05,Практические занятия,Теория вероятностей и математическая статистика,Семилетов И. М.,407/5,1,кб-231,
Пятница,,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Смольянова Л. А.,407/5,1,кб-231,
Пятница,,14:00,15:35,Практические занятия,Элективные дисциплины по физической культуре и спорту,Смольянова Л. А.,407/5,2,кб-231,
Пятница,15:15:00 - 16:50:00,15:15,16:50,Лекционные занятия,Теория вероятностей и математическая статистика,Семилетов И. М.,407/5,1,кб-231,
Пятница,17:00:00 - 18:35:00,17:50,19:25,Лекционные занятия,Основы военной подготовки,. .,7211,1,кб-231,
Пятница,,19:35,21:10,Лекционные занятия,Основы военной подготовки,. .,7211,1,кб-231,
Суббота,8:00:00 - 9:35:00,8:00,9:35,Лабораторные занятия,Математические основы управления рисками,Ярмонов М. И.,402/5,1,кб-231,
Суббота,9:45:00 - 11:20:00,9:45,11:20,Лабораторные занятия,Математические основы управления рисками,Ярмонов М. И.,402/5,1,кб-231,
Суббота,11:30:00 - 13:05:00,11:30,13:05,Практические занятия,Физические основы защиты информации,Пахомова А. С.,218/1,1,кб-231,
Суббота,13:30:00 - 15:05:00,14:20,15:55,Практические занятия,Основы военной подготовки,. .,7106,1,кб-231,
